id,age,year,wrkstat,hrs1,marital,degree,sphrs1,postlife,sex,SIBS,agekdbrn,othlang,born,neisafe,hsbio,hschem,tspac,nextgen,grass,hrlax,colsci,fmi,numpets,trust,tvhours,sop,ssi,sphrs2,educ,moos,faos,realrinc,wordsum,rhs,Male,pres
1562,,2018,working fulltime,50.0,1.0,high school,40.0,yes,1,3.0,,no,yes,very safe,,,,,,2.0,,63560.0,1.0,can't be too careful,1.0,64.0,82.0,,14.0,53.0,,45400.0,3.0,,male,46.0
570,,2018,working fulltime,45.0,1.0,bachelor,,,2,3.0,,no,no,somewhat safe,yes,yes,about right,agree,,4.0,no,,,can't be too careful,1.0,44.0,56.0,,16.0,,59.0,,8.0,,female,75.0
1473,,2018,working fulltime,40.0,3.0,junior college,,yes,1,5.0,23.0,no,yes,somewhat safe,yes,no,too much,agree,legal,0.0,,14755.0,,can't be too careful,2.0,,,,14.0,48.0,,14755.0,7.0,good,male,35.0
1963,,2018,working fulltime,40.0,1.0,graduate,,yes,1,7.0,,yes,yes,somewhat safe,yes,no,,agree,,4.0,yes,,,,1.0,27.0,14.0,,20.0,27.0,47.0,,5.0,,male,64.0
419,,2018,working fulltime,35.0,1.0,junior college,40.0,yes,2,5.0,23.0,yes,no,very safe,,,,,not legal,2.0,,24970.0,4.0,can trust,1.0,46.0,52.0,,14.0,42.0,49.0,24970.0,3.0,,female,47.0
1441,,2018,working parttime,16.0,1.0,high school,,,2,3.0,,no,yes,very safe,yes,no,,agree,,5.0,yes,9647.0,,,0.0,,,,12.0,53.0,,9647.0,4.0,,female,40.0
659,,2018,working fulltime,,5.0,high school,,no,2,3.0,,no,yes,somewhat safe,no,no,,agree,legal,,yes,37455.0,,can't be too careful,2.0,,,,13.0,47.0,34.0,37455.0,6.0,good,female,51.0
377,18.0,2018,working fulltime,60.0,5.0,high school,,yes,2,3.0,,no,yes,very safe,yes,yes,about right,agree,legal,2.0,yes,24970.0,,can't be too careful,1.0,,,,14.0,63.0,,2497.0,5.0,,female,48.0
1113,18.0,2018,working fulltime,40.0,5.0,high school,,no,2,2.0,,no,yes,very safe,,,,,legal,,,,8.0,can trust,,,,,12.0,48.0,31.0,,,,female,25.0
738,18.0,2018,working parttime,35.0,5.0,high school,,yes,1,3.0,,no,yes,very safe,,,,,not legal,5.0,,63560.0,0.0,can trust,,,,,12.0,60.0,64.0,908.0,,,male,50.0
745,18.0,2018,working fulltime,33.0,5.0,high school,,yes,1,2.0,,no,yes,very safe,,,,,not legal,8.0,,30645.0,8.0,can't be too careful,,,,,12.0,35.0,28.0,,,,male,25.0
2055,18.0,2018,working fulltime,30.0,5.0,lt high school,,,1,2.0,,no,yes,somewhat unsafe,,,about right,agree,,3.0,no,12485.0,,,2.0,28.0,21.0,,8.0,31.0,,2043.0,7.0,fair,male,33.0
591,18.0,2018,working parttime,20.0,5.0,lt high school,,yes,2,2.0,,yes,yes,somewhat safe,yes,yes,about right,strongly agree,legal,5.0,no,,,can't be too careful,3.0,,,,11.0,,35.0,,3.0,good,female,41.0
1053,18.0,2018,"unempl, laid off",,5.0,high school,,yes,2,3.0,,no,yes,somewhat safe,yes,yes,too little,agree,,,no,10782.0,,,3.0,,,,12.0,31.0,,,2.0,good,female,
144,18.0,2018,school,,5.0,high school,,yes,1,4.0,,no,yes,somewhat unsafe,yes,yes,too much,disagree,,,no,8512.0,,depends,4.0,,,,12.0,64.0,64.0,,8.0,good,male,
161,18.0,2018,school,,5.0,lt high school,,yes,2,2.0,,yes,yes,very safe,,,,,legal,,,,0.0,can't be too careful,,,,,11.0,38.0,25.0,,,,female,
162,18.0,2018,school,,5.0,high school,,yes,2,2.0,,yes,yes,somewhat safe,yes,yes,,strongly agree,legal,,no,54480.0,,can't be too careful,4.0,,,,12.0,44.0,49.0,,5.0,excellent,female,
214,18.0,2018,school,,5.0,lt high school,,yes,2,2.0,,no,yes,somewhat safe,yes,yes,about right,strongly agree,legal,,no,6242.0,,can trust,0.0,,,,11.0,,,,1.0,excellent,female,
295,18.0,2018,school,,5.0,high school,,yes,2,4.0,,no,yes,very safe,,,about right,,not legal,,,908.0,4.0,can't be too careful,,,,,11.0,48.0,,,,good,female,
297,18.0,2018,school,,5.0,lt high school,,yes,2,1.0,,,yes,very safe,yes,yes,about right,agree,legal,,no,63560.0,,can't be too careful,1.0,,,,11.0,52.0,,,5.0,good,female,
1161,18.0,2018,school,,5.0,lt high school,,yes,2,1.0,,no,yes,very safe,yes,yes,about right,strongly agree,,,yes,119879.0,,,2.0,,,,11.0,46.0,39.0,,7.0,good,female,
1257,18.0,2018,school,,5.0,high school,,yes,2,5.0,,no,yes,very safe,yes,no,about right,strongly agree,,,no,20430.0,,,6.0,,,,12.0,48.0,31.0,,4.0,,female,
1878,18.0,2018,school,,5.0,lt high school,,no,1,3.0,,yes,yes,somewhat safe,,,too little,,legal,,,24970.0,0.0,can't be too careful,,,,,10.0,,28.0,,,excellent,male,
